[2026-03-03 12:33:27] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 12:33:27] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 12:37:37] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 12:37:37] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 12:42:17] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 12:42:17] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 13:02:21] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 13:02:21] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 14:58:01] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 14:58:01] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 16:32:58] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 16:32:58] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 16:37:47] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 16:37:47] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 16:57:31] quant.tushare_adapter INFO: Tushare批量资金流: 2/2
[2026-03-03 16:57:31] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 17:16:41] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:17:38] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:21:05] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:21:06] quant.tushare_adapter INFO: Tushare批量资金流: 3/3 (2天)
[2026-03-03 17:21:15] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:21:16] quant.tushare_adapter INFO: Tushare批量资金流: 6/6 (3天)
[2026-03-03 17:21:54] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:21:55] quant.tushare_adapter INFO: Tushare批量资金流: 10/10 (3天)
[2026-03-03 17:23:51] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:23:53] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 17:23:57] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 17:24:01] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:24:05] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:24:08] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:24:15] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 17:24:15] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 17:28:27] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:28:29] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 17:28:33] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 17:28:37] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:28:40] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:28:43] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:28:51] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 17:28:51] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 17:32:41] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 17:32:43] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 17:32:47] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 17:32:51] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:32:54] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 17:32:58] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
